Title,Description,due_date,priority,Complete
Grocery Shopping,Buy groceries for the week,2024-04-10,Medium,False
Plan Vacation,Research destinations and book flights,2024-05-20,High,False
Bill Jald Se Jald Bharo,Pay utility bills and rent,2024-04-30,High,False
Study for Exam,Review notes and practice problems,2024-05-05,High,False
Attend Meeting,Participate in team meeting,2024-04-08,Medium,False
Gym Workout,Exercise for 1 hour,2024-04-12,Medium,False
Call Mom,Wish mom a happy birthday,2024-04-20,Low,False
Write Blog Post,Draft blog post on recent topic,2024-04-18,Medium,False
Dentist Appointment,Visit dentist for check-up,2024-04-25,Medium,False
Submit Project Proposal,Finalize and submit project proposal,2024-05-01,High,False
Book Movie Tickets,Reserve seats for upcoming movie,2024-04-15,Low,False
Attend Webinar,Join webinar on industry trends,2024-04-22,Low,False
Plan Date Night,Arrange dinner reservations,2024-04-28,Medium,False
Organize Closet,Clean and declutter wardrobe,2024-05-10,Low,False
Review Contracts,Go through legal documents,2024-05-15,High,False
Birthday Party Planning,Plan decorations and menu,2024-05-12,High,False
Volunteer at Shelter,Help at local animal shelter,2024-05-08,Low,False
Study New Language,Practice vocabulary and grammar,2024-05-25,Medium,False
Research Investment Options,Explore investment opportunities,2024-04-20,High,False
